,date,temperature_2m
0,2024-12-10 00:00:00+00:00,7.05
1,2024-12-10 01:00:00+00:00,7.1
2,2024-12-10 02:00:00+00:00,7.0
3,2024-12-10 03:00:00+00:00,6.7
4,2024-12-10 04:00:00+00:00,6.85
5,2024-12-10 05:00:00+00:00,6.9
6,2024-12-10 06:00:00+00:00,7.0
7,2024-12-10 07:00:00+00:00,6.95
8,2024-12-10 08:00:00+00:00,7.05
9,2024-12-10 09:00:00+00:00,7.0
10,2024-12-10 10:00:00+00:00,7.0
11,2024-12-10 11:00:00+00:00,6.85
12,2024-12-10 12:00:00+00:00,6.8
13,2024-12-10 13:00:00+00:00,7.0
14,2024-12-10 14:00:00+00:00,7.05
15,2024-12-10 15:00:00+00:00,7.05
16,2024-12-10 16:00:00+00:00,6.95
17,2024-12-10 17:00:00+00:00,6.9
18,2024-12-10 18:00:00+00:00,6.8
19,2024-12-10 19:00:00+00:00,6.75
20,2024-12-10 20:00:00+00:00,6.7
21,2024-12-10 21:00:00+00:00,6.6
22,2024-12-10 22:00:00+00:00,6.45
23,2024-12-10 23:00:00+00:00,6.5
24,2024-12-11 00:00:00+00:00,6.45
25,2024-12-11 01:00:00+00:00,6.4
26,2024-12-11 02:00:00+00:00,6.6
27,2024-12-11 03:00:00+00:00,6.65
28,2024-12-11 04:00:00+00:00,6.65
29,2024-12-11 05:00:00+00:00,6.65
30,2024-12-11 06:00:00+00:00,6.75
31,2024-12-11 07:00:00+00:00,7.05
32,2024-12-11 08:00:00+00:00,7.3
33,2024-12-11 09:00:00+00:00,7.55
34,2024-12-11 10:00:00+00:00,7.75
35,2024-12-11 11:00:00+00:00,7.9
36,2024-12-11 12:00:00+00:00,7.2
37,2024-12-11 13:00:00+00:00,7.4
38,2024-12-11 14:00:00+00:00,7.75
39,2024-12-11 15:00:00+00:00,7.6
40,2024-12-11 16:00:00+00:00,8.6
41,2024-12-11 17:00:00+00:00,8.95
42,2024-12-11 18:00:00+00:00,8.95
43,2024-12-11 19:00:00+00:00,9.0
44,2024-12-11 20:00:00+00:00,9.0
45,2024-12-11 21:00:00+00:00,9.0
46,2024-12-11 22:00:00+00:00,9.0
47,2024-12-11 23:00:00+00:00,8.85
48,2024-12-12 00:00:00+00:00,8.75
49,2024-12-12 01:00:00+00:00,8.95
50,2024-12-12 02:00:00+00:00,9.05
51,2024-12-12 03:00:00+00:00,9.1
52,2024-12-12 04:00:00+00:00,8.95
53,2024-12-12 05:00:00+00:00,8.9
54,2024-12-12 06:00:00+00:00,8.8
55,2024-12-12 07:00:00+00:00,
56,2024-12-12 08:00:00+00:00,
57,2024-12-12 09:00:00+00:00,
58,2024-12-12 10:00:00+00:00,
59,2024-12-12 11:00:00+00:00,
60,2024-12-12 12:00:00+00:00,
61,2024-12-12 13:00:00+00:00,
62,2024-12-12 14:00:00+00:00,
63,2024-12-12 15:00:00+00:00,
64,2024-12-12 16:00:00+00:00,
65,2024-12-12 17:00:00+00:00,
66,2024-12-12 18:00:00+00:00,
67,2024-12-12 19:00:00+00:00,
68,2024-12-12 20:00:00+00:00,
69,2024-12-12 21:00:00+00:00,
70,2024-12-12 22:00:00+00:00,
71,2024-12-12 23:00:00+00:00,
72,2024-12-13 00:00:00+00:00,
73,2024-12-13 01:00:00+00:00,
